titre,nomChaine,categorie,categorie_id,int_com,int_notes,erreur_vid,heure_publication,date_publication,date_tendance,vues,likes,dislikes,nb_com
ON VOUS DÉVOILE NOTRE VRAI SALAIRE,Mcfly & Carlito,Foreign,7,False,False,False,08:59:25,12/11/2017,14/11/2017,2340941,200598,6018,7575
"Emilie, 10 ans, Coach De Vie",Lolywood,Family,6,False,False,False,15:00:03,12/11/2017,14/11/2017,1504950,108635,1562,2913
The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,Foreign,7,False,False,False,07:30:00,13/11/2017,14/11/2017,2418783,97192,6146,12703
LES PIRES DOUBLAGES FRANÇAIS,SQUEEZIE,Family,6,False,False,False,18:25:25,10/11/2017,14/11/2017,3641421,218587,5809,12649
"Si vous voyez ceci en forêt, courez vite et demandez de l'aide!",Dr Bot,Thriller,14,False,False,False,18:36:15,10/11/2017,14/11/2017,1388115,17378,6835,1517
شاهد..لحظة تلقي رونار اتصالا من الملك محمد السادس بعد الفوز,alyaoum24,Foreign,7,False,False,False,20:21:32,11/11/2017,14/11/2017,2990802,23443,2244,3420
Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,Comedy,4,False,False,False,17:00:03,10/11/2017,14/11/2017,17158579,787425,43420,125882
12 Weird Ways To Sneak Food Into Class / Back To School Pranks,Troom Troom,Sci-Fi/Fantasy,11,False,False,False,15:00:05,12/11/2017,14/11/2017,3153224,28451,2285,3312
Smart Girl Shows How to Build Candy Dispenser,The Q,Drama,5,False,False,False,02:00:00,11/11/2017,14/11/2017,3905245,53072,2438,1979
Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,Comedy,4,False,False,False,11:04:14,09/11/2017,14/11/2017,33523622,1634134,21082,85067
THE LOGANG MADE HISTORY. LOL. AGAIN.,Logan Paul Vlogs,Foreign,7,False,False,False,20:19:24,12/11/2017,14/11/2017,4477587,292838,4123,36391
The New SpotMini,BostonDynamics,Shorts,12,False,False,False,20:09:58,13/11/2017,15/11/2017,3701763,56562,2495,11608
ON VOUS DÉVOILE NOTRE VRAI SALAIRE,Mcfly & Carlito,Foreign,7,False,False,False,08:59:25,12/11/2017,15/11/2017,2466993,204742,6225,7676
26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,Sci-Fi/Fantasy,11,False,False,False,16:30:00,13/11/2017,15/11/2017,4752153,48776,4615,2502
Slow Mo Katana Sword - 4K - The Slow Mo Guys,The Slow Mo Guys,Foreign,7,False,False,False,18:31:20,14/11/2017,15/11/2017,1529652,63996,896,4697
Mean Tweets – Jimmy Kimmel Edition,Jimmy Kimmel Live,Family,6,False,False,False,08:30:01,14/11/2017,15/11/2017,2765121,35532,1705,2388
The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,Foreign,7,False,False,False,07:30:00,13/11/2017,15/11/2017,4632016,131784,9892,18284
"Emilie, 10 ans, Coach De Vie",Lolywood,Family,6,False,False,False,15:00:03,12/11/2017,15/11/2017,1632658,113655,1655,3000
Allegations Mount Against Roy Moore; Trump Cozies Up to Putin: A Closer Look,Late Night with Seth Meyers,Family,6,False,False,False,02:09:55,14/11/2017,15/11/2017,1503131,20618,607,2676
Jimmy Fallon Pays Tribute to His Mother Gloria,The Tonight Show Starring Jimmy Fallon,Family,6,False,False,False,04:55:24,14/11/2017,15/11/2017,1611093,58474,837,3294
Söz | 21.Bölüm,Söz Dizi,Autos & Vehicles,2,False,False,False,00:39:50,14/11/2017,15/11/2017,2420770,26900,1686,3621
DUEL DE BLAGUES NULLES ! #2 (Vs Google Home),Amixem,Family,6,False,False,False,18:00:01,14/11/2017,16/11/2017,1489178,113033,1908,2853
Deadpool’s “Wet on Wet” Teaser,20th Century Fox,Autos & Vehicles,2,False,False,False,14:01:03,15/11/2017,16/11/2017,3979891,151851,2378,8079
The New SpotMini,BostonDynamics,Shorts,12,False,False,False,20:09:58,13/11/2017,16/11/2017,5531707,72727,3362,14816
"Naachiyaar - Official Teaser I Director Bala I Ilaiyaraaja I Jyotika, G.V. Prakash Kumar",Filmmaker Bala,Autos & Vehicles,2,False,False,False,12:28:54,15/11/2017,16/11/2017,1621002,49601,2917,2645
P!nk Carpool Karaoke,The Late Late Show with James Corden,Foreign,7,False,False,False,06:42:14,15/11/2017,16/11/2017,3621389,141682,1289,8127
"Kurt Angle & The Shield lead a Raw raid of SmackDown: SmackDown LIVE, Nov. 14, 2017",WWE,Anime/Animation,1,False,False,False,04:22:08,15/11/2017,16/11/2017,3715529,86803,2264,11409
Donald Trump Jr. and WikiLeaks; Trump Meets Duterte: A Closer Look,Late Night with Seth Meyers,Family,6,False,False,False,02:00:01,15/11/2017,16/11/2017,1451881,16654,830,1632
WWE Smackdown 14 November Highlights HD - WWE Smackdown 14/11/2017 Highlights HD,Wrestling Reality II,Anime/Animation,1,False,False,False,03:31:47,15/11/2017,16/11/2017,1502902,11298,920,1155
Slow Mo Katana Sword - 4K - The Slow Mo Guys,The Slow Mo Guys,Foreign,7,False,False,False,18:31:20,14/11/2017,16/11/2017,2918106,93040,1765,6493
OrelSan - Tout va bien [CLIP OFFICIEL],orelsan,Comedy,4,False,False,False,12:07:54,15/11/2017,17/11/2017,1942315,136703,2421,7535
UNE HISTOIRE DE FABLES ! - LE RIRE JAUNE,Le Rire Jaune,Family,6,False,False,False,16:00:09,15/11/2017,17/11/2017,1664684,234160,1845,11647
Spill Your Guts or Fill Your Guts w/ Kim Kardashian,The Late Late Show with James Corden,Foreign,7,False,False,False,06:44:16,16/11/2017,17/11/2017,4722974,119112,3782,6651
DUEL DE BLAGUES NULLES ! #2 (Vs Google Home),Amixem,Family,6,False,False,False,18:00:01,14/11/2017,17/11/2017,1595201,117962,2028,2946
Deadpool’s “Wet on Wet” Teaser,20th Century Fox,Autos & Vehicles,2,False,False,False,14:01:03,15/11/2017,17/11/2017,6659676,223823,4515,11792
"What's new, Atlas?",BostonDynamics,Shorts,12,False,False,False,21:12:25,16/11/2017,17/11/2017,1603415,65600,700,12169
BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official Teaser,ibighit,Comedy,4,False,False,False,15:00:05,16/11/2017,17/11/2017,3483755,789767,2840,72376
RAMPAGE - OFFICIAL TRAILER 1 [HD],Warner Bros. Pictures,Foreign,7,False,False,False,21:15:08,16/11/2017,17/11/2017,2585193,40779,3499,8834
"Kurt Angle & The Shield lead a Raw raid of SmackDown: SmackDown LIVE, Nov. 14, 2017",WWE,Anime/Animation,1,False,False,False,04:22:08,15/11/2017,17/11/2017,4373507,94443,2502,12173
OrelSan - Tout va bien [CLIP OFFICIEL],orelsan,Comedy,4,False,False,False,12:07:54,15/11/2017,18/11/2017,2443415,150143,2807,8396
"What's new, Atlas?",BostonDynamics,Shorts,12,False,False,False,21:12:25,16/11/2017,18/11/2017,6451949,150020,2976,26869
"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,Comedy,4,False,False,False,05:00:01,17/11/2017,18/11/2017,18558186,1002569,32179,59945
UNE HISTOIRE DE FABLES ! - LE RIRE JAUNE,Le Rire Jaune,Family,6,False,False,False,16:00:09,15/11/2017,18/11/2017,1905322,253909,2047,12419
Spill Your Guts or Fill Your Guts w/ Kim Kardashian,The Late Late Show with James Corden,Foreign,7,False,False,False,06:44:16,16/11/2017,18/11/2017,8072982,174945,6413,9529
Le Coup de Foudre - Partie 2,Lolywood,Family,6,False,False,False,17:00:03,15/11/2017,18/11/2017,1366187,83850,862,1690
Golden State Warriors vs Boston Celtics Full Game Highlights / Week 5 / 2017 NBA Season,MLG Highlights,Anime/Animation,1,False,False,False,03:47:03,17/11/2017,18/11/2017,3158597,19584,995,7573
Red Velvet 레드벨벳 '피카부 (Peek-A-Boo)' MV,SMTOWN,Comedy,4,False,False,False,09:00:03,17/11/2017,18/11/2017,4340962,396800,11280,41890
Deadpool’s “Wet on Wet” Teaser,20th Century Fox,Autos & Vehicles,2,False,False,False,14:01:03,15/11/2017,18/11/2017,8291139,254160,5437,11910
SQUEEZIE - FREESTYLE DE L'AUTODÉRISION,SQUEEZIE,Family,6,False,False,False,19:14:12,18/11/2017,19/11/2017,1914518,292391,8702,27180
DE L’ACIDE SUR UNE POMME ? Will it dissolve,Dr Nozman,Shorts,12,False,False,False,16:59:47,17/11/2017,19/11/2017,1383242,109641,1425,14736
"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,Comedy,4,False,False,False,05:00:01,17/11/2017,19/11/2017,29943556,1388759,54752,79828
Manchester United vs Newcastle 4-1 - Highlights & Goals - 18 November 2017,FOOTBALL MINDS,Anime/Animation,1,False,False,False,19:50:39,18/11/2017,19/11/2017,2331121,10675,866,1011
"Anes Tina Rani za3fane , راني زعفان",Anes Tina,Family,6,False,False,False,16:57:32,17/11/2017,19/11/2017,1850483,207816,3184,33113
OrelSan - Tout va bien [CLIP OFFICIEL],orelsan,Comedy,4,False,False,False,12:07:54,15/11/2017,19/11/2017,2971241,162641,3116,9388
"What's new, Atlas?",BostonDynamics,Shorts,12,False,False,False,21:12:25,16/11/2017,19/11/2017,8533826,180591,4104,32468
"Selena Gomez, Marshmello - Wolves",SelenaGomezVEVO,Comedy,4,False,False,False,16:00:02,18/11/2017,19/11/2017,2959054,415049,6703,30393
Miss World 2017 - Crowning Moment,Latino Vicente,Drama,5,False,False,False,14:05:29,18/11/2017,19/11/2017,1865674,28953,1340,3792
Hornet La Frappe - Maghrébin (Clip officiel),Hornet La Frappe,Comedy,4,False,False,False,15:00:04,15/11/2017,19/11/2017,1620419,63733,1735,4608
Leganes vs Barcelona 0-3 - All Goals & Extended Highlights - La Liga 18/11/2017 HD,GOLAZO TV,Anime/Animation,1,False,False,False,17:14:01,18/11/2017,19/11/2017,1875142,11395,685,1115
UNE HISTOIRE DE FABLES ! - LE RIRE JAUNE,Le Rire Jaune,Family,6,False,False,False,16:00:09,15/11/2017,19/11/2017,2038692,264256,2148,12595
LA Clippers vs Cleveland Cavaliers Full Game Highlights / Week 5 / 2017 NBA Season,MLG Highlights,Anime/Animation,1,False,False,False,03:17:15,18/11/2017,19/11/2017,1962534,9023,509,1878
"Mersal - Maacho Tamil Video | Vijay, Kajal Aggarwal | A.R. Rahman",SonyMusicSouthVEVO,Comedy,4,False,False,False,12:20:10,17/11/2017,19/11/2017,1380378,67384,1192,1323
Vivre avec son père (vu par Seb),SEB,Family,6,False,False,False,15:00:01,19/11/2017,20/11/2017,1566953,98393,1191,1274
Vivre avec son Fils (vu par Lolywood),Lolywood,Family,6,False,False,False,15:00:01,19/11/2017,20/11/2017,1586915,82660,1086,1265
"INSTARWARS (tu perds, tu publies sur Insta)",Mcfly & Carlito,Foreign,7,False,False,False,08:57:40,19/11/2017,20/11/2017,1909709,134565,2870,8180
SQUEEZIE - FREESTYLE DE L'AUTODÉRISION,SQUEEZIE,Family,6,False,False,False,19:14:12,18/11/2017,20/11/2017,3454048,411011,13630,35674
PRESQUE ADULTES EP8 - LE VIEUX MONSIEUR,Natoo,Family,6,False,False,False,13:54:15,18/11/2017,20/11/2017,1700973,89139,1693,2670
DE L’ACIDE SUR UNE POMME ? Will it dissolve,Dr Nozman,Shorts,12,False,False,False,16:59:47,17/11/2017,20/11/2017,1700053,122584,1719,16112
"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,Comedy,4,False,False,False,05:00:01,17/11/2017,20/11/2017,38647842,1600405,68558,91409
"Anes Tina Rani za3fane , راني زعفان",Anes Tina,Family,6,True,False,False,16:57:32,17/11/2017,20/11/2017,2962946,292529,4629,0
Atletico Madrid vs Real Madrid 0-0 - Extended Match Highlights - La Liga 18/11/2017 HD,GOLAZO TV,Anime/Animation,1,False,False,False,21:53:10,18/11/2017,20/11/2017,2029829,9322,764,2385
OrelSan - Tout va bien [CLIP OFFICIEL],orelsan,Comedy,4,False,False,False,12:07:54,15/11/2017,20/11/2017,3405575,171004,3354,9766
Miss World 2017 - Crowning Moment,Latino Vicente,Drama,5,False,False,False,14:05:29,18/11/2017,20/11/2017,7664480,104444,3865,11295
"What's new, Atlas?",BostonDynamics,Shorts,12,False,False,False,21:12:25,16/11/2017,20/11/2017,9421291,191296,4403,34456
"Selena Gomez, Marshmello - Wolves",SelenaGomezVEVO,Comedy,4,False,False,False,16:00:02,18/11/2017,20/11/2017,5620985,550030,10437,35849
Vivre avec son père (vu par Seb),SEB,Family,6,False,False,False,15:00:01,19/11/2017,21/11/2017,2032801,116459,1645,1631
NOTRE PREMIÈRE DISPUTE DE COUPLE !!,Tibo InShape,Anime/Animation,1,False,False,False,17:00:12,19/11/2017,21/11/2017,1367664,84460,4564,4186
Vivre avec son Fils (vu par Lolywood),Lolywood,Family,6,False,False,False,15:00:01,19/11/2017,21/11/2017,1959305,95081,1382,1432
"INSTARWARS (tu perds, tu publies sur Insta)",Mcfly & Carlito,Foreign,7,False,False,False,08:57:40,19/11/2017,21/11/2017,2210421,146431,3262,8836
SQUEEZIE - FREESTYLE DE L'AUTODÉRISION,SQUEEZIE,Family,6,False,False,False,19:14:12,18/11/2017,21/11/2017,3867178,432418,14954,37772
PRESQUE ADULTES EP8 - LE VIEUX MONSIEUR,Natoo,Family,6,False,False,False,13:54:15,18/11/2017,21/11/2017,1835877,93066,1803,2715
Aymane Serhani ايمن سرحاني - HAYAT (Clip Selfie) حياة,Aymane Serhani,Comedy,4,False,False,False,19:40:27,19/11/2017,21/11/2017,2188523,124314,5903,14182
Water Bottle Flip 2 | Dude Perfect,Dude Perfect,Anime/Animation,1,False,False,False,23:00:24,20/11/2017,21/11/2017,3914524,218330,3066,19437
DE L’ACIDE SUR UNE POMME ? Will it dissolve,Dr Nozman,Shorts,12,False,False,False,16:59:47,17/11/2017,21/11/2017,1791666,126312,1802,16468
Funny Japanese Game Show Slippery Stairs - Just Hilarious,Just Wow me,Foreign,7,False,False,False,19:22:56,18/11/2017,21/11/2017,1326266,12282,426,1390
"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,Comedy,4,False,False,False,05:00:01,17/11/2017,21/11/2017,47078714,1763400,78228,101453
Vivre avec son père (vu par Seb),SEB,Family,6,False,False,False,15:00:01,19/11/2017,22/11/2017,2246582,123235,1962,1769
P!nk - Beautiful Trauma (Official Video),PinkVEVO,Comedy,4,False,False,False,14:00:02,21/11/2017,22/11/2017,2484089,150574,3873,10683
Water Bottle Flip 2 | Dude Perfect,Dude Perfect,Anime/Animation,1,False,False,False,23:00:24,20/11/2017,22/11/2017,8839267,395069,6146,28049
NOTRE PREMIÈRE DISPUTE DE COUPLE !!,Tibo InShape,Anime/Animation,1,False,False,False,17:00:12,19/11/2017,22/11/2017,1525396,89326,5116,4380
Vivre avec son Fils (vu par Lolywood),Lolywood,Family,6,False,False,False,15:00:01,19/11/2017,22/11/2017,2100341,99172,1472,1446
Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,Foreign,7,False,False,False,17:00:22,21/11/2017,22/11/2017,5670852,262509,3453,16321
SQUEEZIE - FREESTYLE DE L'AUTODÉRISION,SQUEEZIE,Family,6,False,False,False,19:14:12,18/11/2017,22/11/2017,4146637,443534,15616,36490
"INSTARWARS (tu perds, tu publies sur Insta)",Mcfly & Carlito,Foreign,7,False,False,False,08:57:40,19/11/2017,22/11/2017,2351153,151042,3452,9095
PRESQUE ADULTES EP8 - LE VIEUX MONSIEUR,Natoo,Family,6,False,False,False,13:54:15,18/11/2017,22/11/2017,1924154,95642,1860,2777
"Paige returns to WWE alongside Raw newcomers Mandy Rose and Sonya Deville: Raw, Nov. 20, 2017",WWE,Anime/Animation,1,False,False,False,04:28:43,21/11/2017,22/11/2017,2051979,44906,1642,9802
Söz | 22.Bölüm,Söz Dizi,Autos & Vehicles,2,False,False,False,21:14:17,20/11/2017,22/11/2017,2140275,25859,1608,3626
WWE Monday Night RAW 11/20/2017 Highlights HD - WWE RAW 20 november 2017 Highlights HD,Classy Wrestling,Anime/Animation,1,False,False,False,06:01:26,21/11/2017,22/11/2017,1425542,12001,1059,848
Post Malone - rockstar ft. 21 Savage,PostMaloneVEVO,Comedy,4,False,False,False,05:00:01,22/11/2017,23/11/2017,7558742,549729,13588,58991
P!nk - Beautiful Trauma (Official Video),PinkVEVO,Comedy,4,False,False,False,14:00:02,21/11/2017,23/11/2017,6119211,271967,9496,20075
Vivre avec son père (vu par Seb),SEB,Family,6,False,False,False,15:00:01,19/11/2017,23/11/2017,2372285,126991,2056,1816
Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,Foreign,7,False,False,False,17:00:22,21/11/2017,23/11/2017,8952634,360340,6503,24248
Water Bottle Flip 2 | Dude Perfect,Dude Perfect,Anime/Animation,1,False,False,False,23:00:24,20/11/2017,23/11/2017,10552150,438807,7340,30559
Trump Backs Roy Moore; Charlie Rose Fired for Sexual Harassment: A Closer Look,Late Night with Seth Meyers,Family,6,False,False,False,02:00:01,22/11/2017,23/11/2017,1382432,16481,916,2497
